KIC,TIC
9847263,273379289
7185598,158277724
6224815,169085123
5906525,171973272
5557001,169816263
9593486,270789264
7186217,158386384
10162795,268381695
5636912,184428580
7707823,268297365
8396126,185058773
2971679,120891608
11920739,27397446
10066446,158661580
2694447,120824476
11090926,27391761
9835853,270789943
10222213,272842941
10451475,123494637
4270689,138302227
5426352,237158952
4274079,377906413
10922538,26751131
9607232,274017965
8415805,164830783
11137913,26584352
7014746,164730748
3230805,122304858
11551487,399951112
8247543,272489559
12646327,267745284
5701829,122597476
8088407,158726360
8018229,158556959
9007281,279912658
4950816,170644580
6205822,137409971
7445437,63119849
2160105,137148444
2578184,137348507
12121318,27911556
12736591,406952352
5599002,120043499
10526369,158662330
5280845,138217526
7119092,63123348
6357702,394172386
4171941,138891155
4567796,138103969
4450034,121086464
9968249,273683971
4469734,137972474
4844277,138643307
5171951,121018256
7459602,271965776
8257055,268483683
3113323,122518010
6616064,271052169
8149762,164786777
2297384,122365364
3971416,184166977
4861364,170232999
7880634,158556635
3445843,137350463
5211310,169814669
6836691,123315266
3867064,184086763
6025594,120496025
5718171,184008478
10746111,28087961
10492289,268705012
11954604,405717476
5524546,121864520
8172679,270952883
7110317,159101242
3631998,121123684
9772996,63453120
6196908,121944896
9815482,164556294
11044326,28356440
2696476,121083926
6784272,270706697
11667840,27307945
9229454,272084414
3458335,138888516
8265993,185184340
9910423,268059659
10136240,159174479
6859320,159447314
3869879,184416206
6191670,121114894
7301640,272944718
6045141,137756282
8702064,272368474
8480295,164786227
9570073,123447855
8580438,274023086
11650039,48448261
4832263,122603314
11070918,267545409
6859530,159447293
8174221,271259689
4348347,120765451
2436842,122365137
11667008,27187144
10598743,159726715
9009295,158274561
4733496,121274036
9642328,158837466
8748423,159177421
9086773,159580973
11350500,26540868
10128726,158270985
5349788,121329303
10389633,164723724
8868085,164670641
7741615,158423229
10483259,272598272
6225430,169177041
10730822,26538936
5124280,169930760
8331545,185184583
4172405,138891117
7445621,63119906
10618721,273874229
10550692,273048037
8607938,164560484
10162792,268381539
5079735,120255524
11700391,267666728
7618308,271347962
5792838,137627656
10938384,416529363
